memory,compute,startup_time,load,throughput,latency
14,40,42464.639,4,0.71,5623.219
14,40,42464.639,8,0.73,10943.375
14,40,42464.639,16,0.741,21568.029
14,40,42464.639,32,0.843,37919.313
14,40,42464.639,64,1.053,45471.783
14,40,42464.639,128,1.042,76561.593
14,60,39768.688,1,0.764,1307.917
14,60,39768.688,2,1.046,1910.313
14,60,39768.688,4,1.37,2914.83
14,60,39768.688,8,1.619,4930.721
14,60,39768.688,16,1.786,8921.743
14,60,39768.688,32,1.869,17083.281
14,60,39768.688,64,1.822,26384.248
14,60,39768.688,128,1.835,43544.718
14,80,45447.295,1,0.497,2011.072
14,80,45447.295,2,0.603,3313.283
14,80,45447.295,4,0.711,5624.912
14,80,45447.295,8,0.804,9938.384
14,80,45447.295,16,0.852,18685.042
14,80,45447.295,32,1.079,29607.546
14,80,45447.295,64,0.899,51655.374
14,80,45447.295,128,0.917,88792.309
14,100,46126.404,1,0.663,1508.535
14,100,46126.404,2,0.864,2311.876
14,100,46126.404,4,0.994,4018.382
14,100,46126.404,8,1.105,7232.912
14,100,46126.404,16,1.083,14757.472
14,100,46126.404,32,1.023,31219.395
14,100,46126.404,64,0.999,48054.684
14,100,46126.404,128,0.969,82611.94
