memory,compute,startup_time,load,throughput,latency
14,60,39632.616,5,0.924,5383.273
14,60,39632.616,6,0.806,7380.704
14,60,39632.616,7,0.768,8975.794
14,60,39632.616,8,0.791,9992.696
14,60,39632.616,9,0.775,11508.334
14,60,39632.616,10,0.757,12992.1
14,80,39969.881,1,1.441,693.339
14,80,39969.881,2,1.796,1080.053
14,80,39969.881,3,1.678,1766.848
14,80,39969.881,4,1.587,2434.768
14,80,39969.881,5,0.859,5771.077
14,80,39969.881,6,0.768,7714.922
14,80,39969.881,7,0.797,8702.81
14,80,39969.881,8,0.767,10287.27
14,80,39969.881,9,0.755,11729.831
14,80,39969.881,10,0.74,13260.173
14,100,40291.561,1,1.613,619.38
14,100,40291.561,2,1.466,1350.729
14,100,40291.561,3,1.284,2139.408
14,100,40291.561,4,1.637,2403.583
14,100,40291.561,5,0.83,5987.226
14,100,40291.561,6,0.791,7481.327
14,100,40291.561,7,0.781,8887.286
14,100,40291.561,8,0.763,10320.473
14,100,40291.561,9,0.742,12004.042
14,100,40291.561,10,0.78,12599.046
